爱心,愛心,àixīn,compassion
安排,安排,ānpái,to arrange
安装,安裝,ānzhuāng,to install
按,按,àn,to press
按照,按照,ànzhào,according to
把,把,bǎ,to hold
把握,把握,bǎwò,to grasp
白菜,白菜,báicài,Chinese cabbage
班级,班級,bānjí,class
搬,搬,bān,to move
办理,辦理,bànlǐ,to handle
帮忙,幫忙,bāngmáng,to help
包子,包子,bāozi,steamed bun
保护,保護,bǎohù,to protect
保证,保證,bǎozhèng,to guarantee
报名,報名,bàomíng,to sign up
抱,抱,bào,to hug
抱歉,抱歉,bàoqiàn,sorry
倍,倍,bèi,times
本来,本來,běnlái,originally
笨,笨,bèn,stupid
比如,比如,bǐrú,for example
毕业,畢業,bìyè,to graduate
遍,遍,biàn,everywhere
标准,標準,biāozhǔn,standard
表格,表格,biǎogé,form
表示,表示,biǎoshì,to express
表演,表演,biǎoyǎn,performance
表扬,表揚,biǎoyáng,to praise
别的,別的,biéde,other
冰箱,冰箱,bīngxiāng,refrigerator
不但,不但,bùdàn,not only
不管,不管,bùguǎn,regardless of
不过,不過,bùguò,however
材料,材料,cáiliào,material
参加,參加,cānjiā,to participate
草,草,cǎo,grass
层,層,céng,floor
差,差,chà,difference
长江,長江,chángjiāng,Yangtze River
超市,超市,chāoshì,supermarket
衬衫,襯衫,chènshān,shirt
成绩,成績,chéngjì,achievement
城市,城市,chéngshì,city
迟到,遲到,chídào,to be late
重新,重新,chóngxīn,again
出差,出差,chūchāi,business trip
出现,出現,chūxiàn,to appear
春,春,chūn,spring
词典,詞典,cídiǎn,dictionary
聪明,聰明,cōngmíng,clever
从来,從來,cónglái,never
错误,錯誤,cuòwù,mistake
打扫,打掃,dǎsǎo,to clean
打印,打印,dǎyìn,to print
大概,大概,dàgài,probably
带,帶,dài,to bring
当,當,dāng,when
当然,當然,dāngrán,of course
到处,到處,dàochù,everywhere
地址,地址,dìzhǐ,address
第一,第一,dìyī,first
电梯,電梯,diàntī,elevator
调查,調查,diàochá,to investigate
丢,丟,diū,to lose
东西,東西,dōngxi,thing
动物,動物,dòngwù,animal
短,短,duǎn,short
段,段,duàn,paragraph
对话,對話,duìhuà,dialogue
对象,對象,duìxiàng,target
对于,對於,duìyú,regarding
儿童,兒童,értóng,children
发展,發展,fāzhǎn,to develop
翻译,翻譯,fānyì,to translate
反对,反對,fǎnduì,to oppose
方法,方法,fāngfǎ,method
方向,方向,fāngxiàng,direction
放心,放心,fàngxīn,to be at ease
非常,非常,fēicháng,extremely
分,分,fēn,minute
否则,否則,fǒuzé,otherwise
附近,附近,fùjìn,nearby
复习,複習,fùxí,to review
复印,複印,fùyìn,to photocopy
改变,改變,gǎibiàn,to change
干净,乾淨,gānjìng,clean
感冒,感冒,gǎnmào,cold
感情,感情,gǎnqíng,emotion
刚才,剛才,gāngcái,just now
高兴,高興,gāoxìng,happy
各,各,gè,each
根据,根據,gēnjù,according to
跟,跟,gēn,with
更,更,gèng,more
工作,工作,gōngzuò,work
故意,故意,gùyì,on purpose
关,關,guān,to close
关系,關係,guānxi,relationship
观众,觀眾,guānzhòng,audience
管理,管理,guǎnlǐ,to manage
光,光,guāng,light
广告,廣告,guǎnggào,advertisement
规定,規定,guīdìng,regulation
国际,國際,guójì,international
过程,過程,guòchéng,process
还是,還是,háishi,or
害怕,害怕,hàipà,to be afraid
海洋,海洋,hǎiyáng,ocean
寒假,寒假,hánjià,winter vacation
厚,厚,hòu,thick
护照,護照,hùzhào,passport
花园,花園,huāyuán,garden
坏,壞,huài,bad
环境,環境,huánjìng,environment
换,換,huàn,to change
黄河,黃河,huánghé,Yellow River
回答,回答,huídá,to answer
会议,會議,huìyì,meeting
活动,活動,huódòng,activity
火,火,huǒ,fire
或者,或者,huòzhě,or
几乎,幾乎,jīhū,almost
机会,機會,jīhuì,opportunity
极,極,jí,extremely
急,急,jí,urgent
即使,即使,jíshǐ,even if
既然,既然,jìrán,since
寄,寄,jì,to mail
加班,加班,jiābān,to work overtime
家具,家具,jiājù,furniture
假,假,jiǎ,fake
检查,檢查,jiǎnchá,to check
简单,簡單,jiǎndān,simple
见面,見面,jiànmiàn,to meet
健康,健康,jiànkāng,healthy
讲,講,jiǎng,to speak
交流,交流,jiāoliú,to exchange
角,角,jiǎo,corner
教育,教育,jiàoyù,education
接受,接受,jiēshòu,to accept
节目,節目,jiémù,program
