爱情,愛情,àiqíng,love/romance
安排,安排,ānpái,to arrange
安全,安全,ānquán,safe/security
按时,按時,ànshí,on time
按照,按照,ànzhào,according to
百分之,百分之,bǎifēnzhī,percent
棒,棒,bàng,excellent/stick
包子,包子,bāozi,steamed bun
保护,保護,bǎohù,to protect
保证,保證,bǎozhèng,to guarantee
报名,報名,bàomíng,to sign up
抱,抱,bào,to embrace
抱歉,抱歉,bàoqiàn,sorry
倍,倍,bèi,times/multiple
本来,本來,běnlái,originally
笨,笨,bèn,stupid
比如,比如,bǐrú,for example
毕业,畢業,bìyè,to graduate
遍,遍,biàn,time/once
标准,標準,biāozhǔn,standard
表格,表格,biǎogé,form/table
表示,表示,biǎoshì,to express
表演,表演,biǎoyǎn,to perform
表扬,表揚,biǎoyáng,to praise
冰箱,冰箱,bīngxiāng,refrigerator
博士,博士,bóshì,doctor/PhD
不安,不安,bù'ān,uneasy
不得了,不得了,bùdéliǎo,terrible/serious
不管,不管,bùguǎn,regardless of
不过,不過,bùguò,however
不仅,不僅,bùjǐn,not only
不然,不然,bùrán,otherwise
不如,不如,bùrú,not as good as
财产,財產,cáichǎn,property
采访,採訪,cǎifǎng,to interview
参观,參觀,cānguān,to visit
参加,參加,cānjiā,to participate
操心,操心,cāoxīn,to worry
厕所,廁所,cèsuǒ,toilet
曾经,曾經,céngjīng,once/formerly
差别,差別,chābié,difference
长江,長江,chángjiāng,Yangtze River
长途,長途,chángtú,long distance
吵,吵,chǎo,noisy
朝,朝,cháo,towards/dynasty
车厢,車廂,chēxiāng,train car
沉默,沉默,chénmò,silent
趁,趁,chèn,to take advantage of
称,稱,chēng,to call/weigh
称赞,稱讚,chēngzàn,to praise
成功,成功,chénggōng,success
成熟,成熟,chéngshú,mature
成为,成為,chéngwéi,to become
诚实,誠實,chéngshí,honest
承认,承認,chéngrèn,to admit
乘坐,乘坐,chéngzuò,to ride
重复,重複,chóngfù,to repeat
抽烟,抽煙,chōuyān,to smoke
出版,出版,chūbǎn,to publish
出色,出色,chūsè,outstanding
出现,出現,chūxiàn,to appear
传真,傳真,chuánzhēn,fax
窗户,窗戶,chuānghu,window
春节,春節,chūnjié,Spring Festival
词汇,詞彙,cíhuì,vocabulary
此外,此外,cǐwài,besides
次要,次要,cìyào,secondary
聪明,聰明,cōngmíng,smart
从此,從此,cóngcǐ,from then on
从而,從而,cóng'ér,thus
粗心,粗心,cūxīn,careless
存在,存在,cúnzài,to exist
错误,錯誤,cuòwù,mistake
答应,答應,dāyìng,to agree
打工,打工,dǎgōng,to work part-time
打交道,打交道,dǎjiāodào,to deal with
打喷嚏,打噴嚏,dǎpēntì,to sneeze
打听,打聽,dǎting,to inquire
大方,大方,dàfāng,generous
大概,大概,dàgài,probably
大厦,大廈,dàshà,building
大象,大象,dàxiàng,elephant
代表,代表,dàibiǎo,to represent
代替,代替,dàitì,to replace
贷款,貸款,dàikuǎn,loan
单纯,單純,dānchún,simple/pure
单独,單獨,dāndú,alone
单位,單位,dānwèi,unit/workplace
担心,擔心,dānxīn,to worry
当地,當地,dāngdì,local
当然,當然,dāngrán,of course
当时,當時,dāngshí,at that time
导游,導遊,dǎoyóu,tour guide
到达,到達,dàodá,to arrive
道德,道德,dàodé,morality
道理,道理,dàoli,reason
得意,得意,déyì,proud
灯,燈,dēng,lamp
登记,登記,dēngjì,to register
等待,等待,děngdài,to wait
等于,等於,děngyú,equal to
地点,地點,dìdiǎn,location
地区,地區,dìqū,region
