爱护,愛護,àihù,to care for
爱惜,愛惜,àixī,to cherish
安慰,安慰,ānwèi,to comfort
安装,安裝,ānzhuāng,to install
岸,岸,àn,shore
按摩,按摩,ànmó,massage
拔,拔,bá,to pull out
白酒,白酒,báijiǔ,white liquor
拜访,拜訪,bàifǎng,to visit
版,版,bǎn,edition
扮演,扮演,bànyǎn,to play
棒,棒,bàng,stick/excellent
包裹,包裹,bāoguǒ,package
保存,保存,bǎocún,to preserve
保险,保險,bǎoxiǎn,insurance
报告,報告,bàogào,report
抱怨,抱怨,bàoyuàn,to complain
背景,背景,bèijǐng,background
被子,被子,bèizi,quilt
本科,本科,běnkē,undergraduate
比例,比例,bǐlì,proportion
比喻,比喻,bǐyù,metaphor
笔记,筆記,bǐjì,notes
必然,必然,bìrán,inevitable
必要,必要,bìyào,necessary
编辑,編輯,biānjí,to edit
变成,變成,biànchéng,to become
辩论,辯論,biànlùn,debate
标点,標點,biāodiǎn,punctuation
标志,標誌,biāozhì,symbol
表达,表達,biǎodá,to express
表面,表面,biǎomiàn,surface
表情,表情,biǎoqíng,expression
并且,並且,bìngqiě,moreover
玻璃,玻璃,bōli,glass
博物馆,博物館,bówùguǎn,museum
不安,不安,bù'ān,uneasy
不得不,不得不,bùdébù,have to
不见得,不見得,bùjiàndé,not necessarily
不耐烦,不耐煩,bùnàifán,impatient
不要紧,不要緊,bùyàojǐn,doesn't matter
部门,部門,bùmén,department
财产,財產,cáichǎn,property
采取,採取,cǎiqǔ,to adopt
参考,參考,cānkǎo,reference
参与,參與,cānyù,to participate
操作,操作,cāozuò,to operate
策略,策略,cèlüè,strategy
层次,層次,céngcì,level
插,插,chā,to insert
差距,差距,chājù,gap
产品,產品,chǎnpǐn,product
产生,產生,chǎnshēng,to produce
常识,常識,chángshí,common sense
抄,抄,chāo,to copy
车库,車庫,chēkù,garage
沉,沉,chén,heavy
承担,承擔,chéngdān,to bear
承受,承受,chéngshòu,to endure
城堡,城堡,chéngbǎo,castle
程度,程度,chéngdù,degree
程序,程序,chéngxù,procedure
秤,秤,chèng,scale
吃亏,吃虧,chīkuī,to suffer loss
持续,持續,chíxù,to continue
充电器,充電器,chōngdiànqì,charger
充分,充分,chōngfèn,sufficient
充满,充滿,chōngmǎn,full of
冲,衝,chōng,to rush
抽象,抽象,chōuxiàng,abstract
丑,醜,chǒu,ugly
出口,出口,chūkǒu,exit
出席,出席,chūxí,to attend
初级,初級,chūjí,elementary
除非,除非,chúfēi,unless
除夕,除夕,chúxī,New Year's Eve
处理,處理,chǔlǐ,to handle
传播,傳播,chuánbō,to spread
传说,傳說,chuánshuō,legend
传统,傳統,chuántǒng,tradition
创造,創造,chuàngzào,to create
纯洁,純潔,chúnjié,pure
磁带,磁帶,cídài,tape
此刻,此刻,cǐkè,this moment
次序,次序,cìxù,order
促进,促進,cùjìn,to promote
醋,醋,cù,vinegar
催,催,cuī,to urge
存,存,cún,to save
搭,搭,dā,to take
达到,達到,dádào,to reach
打击,打擊,dǎjī,to strike
打扰,打擾,dǎrǎo,to disturb
打算,打算,dǎsuàn,to plan
大臣,大臣,dàchén,minister
大胆,大膽,dàdǎn,bold
大使馆,大使館,dàshǐguǎn,embassy
代价,代價,dàijià,price
贷款,貸款,dàikuǎn,loan
单调,單調,dāndiào,monotonous
担负,擔負,dānfù,to bear
胆小鬼,膽小鬼,dǎnxiǎoguǐ,coward
当代,當代,dāngdài,contemporary
当作,當作,dàngzuò,to treat as
倒,倒,dào,to fall
道德,道德,dàodé,morality
得出,得出,déchū,to conclude
灯光,燈光,dēngguāng,lighting
等等,等等,děngděng,etc.
地道,地道,dìdao,authentic
地理,地理,dìlǐ,geography
地毯,地毯,dìtǎn,carpet
地位,地位,dìwèi,status
递,遞,dì,to hand over
点心,點心,diǎnxin,snack
电脑,電腦,diànnǎo,computer
钓鱼,釣魚,diàoyú,to fish
顶,頂,dǐng,top
定期,定期,dìngqī,regular
冬季,冬季,dōngjì,winter
动机,動機,dòngjī,motive
动员,動員,dòngyuán,to mobilize
独特,獨特,dútè,unique
堵车,堵車,dǔchē,traffic jam
肚子,肚子,dùzi,stomach
度,度,dù,degree
断,斷,duàn,to break
锻炼,鍛煉,duànliàn,to exercise
堆,堆,duī,pile
对话,對話,duìhuà,dialogue
对象,對象,duìxiàng,object
兑换,兌換,duìhuàn,to exchange
顿,頓,dùn,meal
多亏,多虧,duōkuī,thanks to
躲,躲,duǒ,to hide
恶劣,惡劣,èliè,bad
而,而,ér,but
耳环,耳環,ěrhuán,earring
发达,發達,fādá,developed
发抖,發抖,fādǒu,to tremble
发挥,發揮,fāhuī,to develop
发明,發明,fāmíng,to invent
发票,發票,fāpiào,invoice
法院,法院,fǎyuàn,court
翻,翻,fān,to turn over
繁荣,繁榮,fánróng,prosperous
反而,反而,fǎn'ér,on the contrary
反复,反覆,fǎnfù,repeatedly
范围,範圍,fànwéi,range
方案,方案,fāng'àn,plan
防止,防止,fángzhǐ,to prevent
房东,房東,fángdōng,landlord
非,非,fēi,not
肥皂,肥皂,féizào,soap
废话,廢話,fèihuà,nonsense
分别,分別,fēnbié,to separate
分布,分佈,fēnbù,distribution
分工,分工,fēngōng,division of labor
分析,分析,fēnxī,to analyze
粉,粉,fěn,powder
愤怒,憤怒,fènnù,angry
风格,風格,fēnggé,style
风景,風景,fēngjǐng,scenery
风俗,風俗,fēngsú,custom
风险,風險,fēngxiǎn,risk
讽刺,諷刺,fèngcì,to satirize
否定,否定,fǒudìng,to negate
夫妇,夫婦,fūfù,couple
服装,服裝,fúzhuāng,clothing
辅助,輔助,fǔzhù,to assist
腐败,腐敗,fǔbài,corrupt
副,副,fù,deputy
复制,複製,fùzhì,to copy
改革,改革,gǎigé,reform
概括,概括,gàikuò,to summarize
概念,概念,gàiniàn,concept
干,干,gàn,to do
干活,幹活,gànhuó,to work
感激,感激,gǎnjī,grateful
感受,感受,gǎnshòu,feeling
赶紧,趕緊,gǎnjǐn,hurry up
钢铁,鋼鐵,gāngtiě,steel
高档,高檔,gāodàng,high-end
搞,搞,gǎo,to do
告诉,告訴,gàosu,to tell
格外,格外,géwài,especially
隔壁,隔壁,gébì,next door
个子,個子,gèzi,height
根,根,gēn,root
工厂,工廠,gōngchǎng,factory
工具,工具,gōngjù,tool
公元,公元,gōngyuán,AD
功能,功能,gōngnéng,function
贡献,貢獻,gòngxiàn,contribution
沟通,溝通,gōutōng,to communicate
构成,構成,gòuchéng,to constitute
估计,估計,gūjì,to estimate
古代,古代,gǔdài,ancient times
鼓掌,鼓掌,gǔzhǎng,to applaud
故事,故事,gùshi,story
挂,掛,guà,to hang
乖,乖,guāi,well-behaved
怪不得,怪不得,guàibude,no wonder
关闭,關閉,guānbì,to close
观察,觀察,guānchá,to observe
管,管,guǎn,tube
冠军,冠軍,guànjūn,champion
光滑,光滑,guānghuá,smooth
光临,光臨,guānglín,to honor with presence
规模,規模,guīmó,scale
柜台,櫃台,guìtái,counter
滚,滾,gǔn,to roll
锅,鍋,guō,pot
过分,過分,guòfèn,excessive
哈,哈,hā,ha
海鲜,海鮮,hǎixiān,seafood
喊,喊,hǎn,to shout
行,行,háng,line
好奇,好奇,hàoqí,curious
合作,合作,hézuò,cooperation
何况,何況,hékuàng,let alone
和平,和平,hépíng,peace
黑板,黑板,hēibǎn,blackboard
恨,恨,hèn,to hate
猴子,猴子,hóuzi,monkey
后悔,後悔,hòuhuǐ,to regret
呼吸,呼吸,hūxī,to breathe
胡说,胡說,húshuō,nonsense
湖,湖,hú,lake
糊涂,糊塗,hútu,confused
花生,花生,huāshēng,peanut
话题,話題,huàtí,topic
怀念,懷念,huáiniàn,to miss
缓解,緩解,huǎnjiě,to ease
幻想,幻想,huànxiǎng,fantasy
慌张,慌張,huāngzhāng,flustered
灰,灰,huī,ash
灰尘,灰塵,huīchén,dust
挥,揮,huī,to wave
恢复,恢復,huīfù,to recover
汇率,匯率,huìlǜ,exchange rate
婚礼,婚禮,hūnlǐ,wedding
活泼,活潑,huópō,lively
火柴,火柴,huǒchái,match
伙伴,伙伴,huǒbàn,partner
或许,或許,huòxǔ,perhaps
基本,基本,jīběn,basic
激烈,激烈,jīliè,intense
及格,及格,jígé,to pass
集中,集中,jízhōng,to concentrate
计算,計算,jìsuàn,to calculate
记者,記者,jìzhě,reporter
季节,季節,jìjié,season
夹子,夾子,jiāzi,clip
家庭,家庭,jiātíng,family
家乡,家鄉,jiāxiāng,hometown
假装,假裝,jiǎzhuāng,to pretend
价格,價格,jiàgé,price
驾驶,駕駛,jiàshǐ,to drive
坚决,堅決,jiānjué,resolute
坚强,堅強,jiānqiáng,strong
兼职,兼職,jiānzhí,part-time
捡,撿,jiǎn,to pick up
剪刀,剪刀,jiǎndāo,scissors
建设,建設,jiànshè,construction
健身,健身,jiànshēn,fitness
键盘,鍵盤,jiànpán,keyboard
讲究,講究,jiǎngjiu,particular about
奖金,獎金,jiǎngjīn,bonus
